platform
0;740;1500;40
560;700;10200;40
560;540;160;200
920;540;80;200
1000;500;360;240
1360;540;80;200
1520;540;80;40
1720;620;80;40
1840;340;120;40
1720;420;80;40
1960;340;160;400
2200;580;80;40
2360;660;80;80
2360;500;80;40
2520;620;80;40
2680;540;80;200
2760;620;80;120
2820;540;80;200
2680;120;880;200
3200;120;40;320
3200;580;40;160
3520;580;40;160
3640;540;80;40
3800;660;80;80
3800;500;80;40
3960;460;80;40
4280;500;80;80
4440;420;80;80
4760;300;320;440
4900;220;40;120
5080;540;800;200
5200;-60;800;400
6000;-20;600;520
6200;660;40;80
6320;580;80;40
6720;460;120;280
6960;500;80;40
7120;580;40;40
7240;460;40;120
7560;580;160;160
7720;620;40;120
7760;660;40;80
8400;620;40;120
8400;-20;40;520
trap
0;720;40;1120
2790;580;40;80
2930;680;160;40
2930;680;160;40
3190;680;160;40
3260;680;160;40
4030;680;160;320
4320;480;40;80
4480;400;40;80
4980;260;40;80
5260;540;40;40
5370;340;40;40
5480;540;40;40
5660;540;40;40
5780;340;40;40
7200;680;120;800
7260;440;40;40
8380;680;40;40
8460;680;40;40
8940;680;120;400
enemy
1660;460;50;40;1660;460;1660;660;2;1
1980;320;50;40;1980;320;2100;320;2;0
4640;520;50;40;4640;520;4640;520;3.2;1
4680;200;50;40;4680;200;4680;460;3.2;1
6260;680;50;40;6260;680;6400;680;2;0
6700;540;50;40;6700;540;6700;540;2;1
7420;440;50;40;7420;440;7500;440;1.7;1
8820;520;50;40;8820;520;8820;520;2;1
8940;520;50;40;9100;520;9100;520;2;1
flag
10750;690;50
SalmonSushi
7140;560;40;30
WoodenSandals
3980;440;50;40











