platform
0;740;1500;40
560;700;10200;40
560;580;320;160
840;500;40;120
960;460;120;40
1120;580;200;160
1320;660;40;80
1320;480;80;40
1460;460;80;40
1640;420;80;40
1840;380;120;40
1960;380;640;360
2720;420;120;40
3000;580;80;40
3120;540;80;40
3240;500;80;40
3360;460;40;280
3400;500;40;240
3440;540;40;200
3480;580;40;160
3520;620;40;120
3560;660;40;80
4000;620;40;120
4360;660;40;80
4400;620;40;120
4440;580;960;160
4920;540;40;80
5400;620;40;120
5440;660;40;80
6160;660;40;80
6200;620;40;120
6320;580;120;40
6600;580;120;40
6880;580;120;40
7080;620;40;120
7120;660;40;80
7640;660;40;80
7680;620;40;120
7800;580;120;40
8040;500;120;40
8280;580;120;40
8480;620;40;120
8520;660;40;80
9200;660;40;80
9440;620;40;120
9680;660;40;80
10760;0;120;840
trap
0;720;40;1120
1000;660;80;240
2980;680;40;760
3980;670;60;40
4060;670;60;40
6660;680;40;840
8100;680;40;760
9420;670;60;40
9500;670;60;40
enemy
2160;360;50;40;2160;360;2460;360;2;0
4560;560;50;40;4560;560;4820;560;2;0
5030;560;50;40;5030;560;5300;560;2;0
10060;680;50;40;10060;680;10360;680;3;0
flag
10720;660;60
SalmonSushi
1220;450;40;30
