platform
-400;740;980;40
560;700;5000;40
5000;740;5000;40
560;590;160;200
820;490;100;50
1020;390;50;100
1220;340;100;40
1620;340;100;40
2020;340;120;40
2420;590;860;300
2820;450;100;50
3220;540;50;90
3260;470;50;90
3300;410;50;90
3450;410;50;90
3490;470;50;90
3530;540;400;50
3930;130;50;470
4180;130;50;900
4400;130;150;40
4650;300;150;40
4850;470;150;40
5150;400;40;400
5120;400;130;40
5150;-50;40;250
5350;430;40;400
5350;-50;40;300
5350;200;500;40
5350;430;850;800
6150;330;40;140
7240;470;100;150
7550;600;800;500
trap
0;720;40;1120
1800;670;40;1300
3350;690;50;180
4590;690;50;500
5650;440;100;50
7280;470;50;80
6500;740;100;5000
enemy
1460;240;50;40;1460;240;1430;240;2;1
1900;240;50;40;1900;240;1870;240;2;1
2420;570;50;40;2410;570;2850;570;2;0
2860;570;50;40;2880;570;3200;570;2;0
4140;570;50;40;4140;570;4140;570;2;2
4140;470;50;40;4140;470;4140;470;2;2
4140;370;50;40;4140;370;4140;370;2;2
4140;270;50;40;4140;270;4140;270;2;2
4140;170;50;40;4140;170;4140;170;2;2
5090;290;50;40;5090;310;5090;310;2;1
5090;360;50;40;5090;380;5090;380;2;1
6450;260;50;40;6450;260;6450;260;2;1
6750;360;50;40;6750;360;6750;360;2;1
7050;460;50;40;7050;460;7050;460;2;1
flag
8300;540;50
Sake
2860;430;50;40
SalmonSushi
3580;450;50;40
6150;300;50;40
WoodenSandals
7250;440;50;40











